|Indiana              |   2,930,390  |   2,700,876  |   2,516,462  |
|Iowa                 |   2,404,021  |   2,224,771  |   2,231,853  |
|Kansas               |   1,769,257  |   1,690,949  |   1,470,495  |
|Kentucky             |   2,416,630  |   2,289,905  |   2,147,174  |
|Louisiana            |   1,798,509  |   1,656,388  |   1,381,625  |
|Maine                |     768,014  |     742,371  |     694,466  |
|Maryland             |   1,449,661  |   1,295,346  |   1,188,044  |
|Massachusetts        |   3,852,356  |   3,366,416  |   2,805,346  |
|Michigan             |   3,668,412  |   2,810,173  |   2,420,982  |
|Minnesota            |   2,387,125  |   2,075,708  |   1,751,394  |
|Mississippi          |   1,790,618  |   1,797,114  |   1,551,270  |
|Missouri             |   3,404,055  |   3,293,335  |   3,106,665  |
|Montana              |     548,889  |     376,053  |     243,329  |
|Nebraska             |   1,296,372  |   1,192,214  |   1,066,300  |
|Nevada               |      77,407  |      81,875  |      42,335  |
|New Hampshire        |     443,407  |     430,572  |     411,588  |
|New Jersey           |   3,155,900  |   2,537,167  |   1,883,669  |
|New Mexico           |     360,350  |     327,301  |     195,310  |
|New York             |  10,384,829  |   9,113,614  |   7,268,894  |
|North Carolina       |   2,559,123  |   2,206,287  |   1,893,810  |
